Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1127.4757944358826
FDW14,OUT017,1127.4757944358826
NCN55,OUT010,1127.4757944358826
FDQ58,OUT017,1127.4757944358826
FDY38,OUT027,1127.4757944358826
FDH56,OUT046,1127.4757944358826
FDL48,OUT018,1127.4757944358826
FDC48,OUT027,1127.4757944358826
FDN33,OUT045,1127.4757944358826
FDA36,OUT017,1127.4757944358826
FDT44,OUT017,1127.4757944358826
FDQ56,OUT045,1127.4757944358826
NCC54,OUT019,1127.4757944358826
FDU11,OUT049,1127.4757944358826
DRL59,OUT013,1127.4757944358826
FDM24,OUT049,1127.4757944358826
FDI57,OUT045,1127.4757944358826
DRC12,OUT018,1127.4757944358826
NCM42,OUT027,1127.4757944358826
FDA46,OUT010,1127.4757944358826
FDA31,OUT013,1127.4757944358826
NCJ31,OUT035,1127.4757944358826
FDG52,OUT046,1127.4757944358826
NCL19,OUT019,1127.4757944358826
FDS10,OUT035,1127.4757944358826
FDX22,OUT010,1127.4757944358826
NCF19,OUT035,1127.4757944358826
NCE06,OUT046,1127.4757944358826
DRC27,OUT046,1127.4757944358826
FDE21,OUT035,1127.4757944358826
NCR42,OUT019,1127.4757944358826
FDX51,OUT018,1127.4757944358826
NCR06,OUT018,1127.4757944358826
FDU31,OUT027,1127.4757944358826
FDU59,OUT017,1127.4757944358826
FDR03,OUT027,1127.4757944358826
FDS49,OUT027,1127.4757944358826
FDD48,OUT010,1127.4757944358826
NCF18,OUT017,1127.4757944358826
NCD43,OUT027,1127.4757944358826
NCD54,OUT018,1127.4757944358826
FDY19,OUT010,1127.4757944358826
NCY54,OUT017,1127.4757944358826
NCL19,OUT018,1127.4757944358826
FDP23,OUT010,1127.4757944358826
FDC26,OUT013,1127.4757944358826
FDR14,OUT010,1127.4757944358826
NCS41,OUT035,1127.4757944358826
FDF41,OUT035,1127.4757944358826
FDU34,OUT046,1127.4757944358826
DRH11,OUT046,1127.4757944358826
FDM03,OUT013,1127.4757944358826
FDS31,OUT017,1127.4757944358826
FDJ20,OUT017,1127.4757944358826
FDV44,OUT027,1127.4757944358826
FDG02,OUT049,1127.4757944358826
FDA09,OUT013,1127.4757944358826
FDT04,OUT013,1127.4757944358826
FDL58,OUT019,1127.4757944358826
FDE52,OUT045,1127.4757944358826
FDW12,OUT035,1127.4757944358826
FDL51,OUT017,1127.4757944358826
NCY42,OUT027,1127.4757944358826
FDR07,OUT017,1127.4757944358826
FDN40,OUT045,1127.4757944358826
FDB35,OUT027,1127.4757944358826
FDA22,OUT017,1127.4757944358826
